Level,Easy XP,Medium XP,Hard XP,Deadly XP,Daily XP
1,25.0,50.0,75.0,100.0,300.0
2,50.0,100.0,150.0,200.0,600.0
3,75.0,150.0,225.0,400.0,1200.0
4,125.0,250.0,375.0,500.0,1700.0
5,250.0,500.0,750.0,1100.0,3500.0
6,300.0,600.0,900.0,1400.0,4000.0
7,350.0,750.0,1100.0,1700.0,5000.0
8,450.0,900.0,1400.0,2100.0,6000.0
9,550.0,1100.0,1600.0,2400.0,7500.0
10,600.0,1200.0,1900.0,2800.0,9000.0
11,800.0,1600.0,2400.0,3600.0,10500.0
12,1000.0,2000.0,3000.0,4500.0,11500.0
13,1100.0,2200.0,3400.0,5100.0,13500.0
14,1250.0,2500.0,3800.0,5700.0,15000.0
15,1400.0,2800.0,4300.0,6400.0,18000.0
16,1600.0,3200.0,4800.0,7200.0,20000.0
17,2000.0,3900.0,5900.0,8800.0,25000.0
18,2100.0,4200.0,6300.0,9500.0,27000.0
19,2400.0,4900.0,7300.0,10900.0,30000.0
20,2800.0,5700.0,8500.0,12700.0,40000.0
